depth,seed,round,test_acc,test_f1,test_auc,cumulative_bytes,n_params
2,4,23,0.572522738152226,0.38200692041522494,0.6295101483541184,144256,49
2,4,24,0.6323599808520823,0.3904761904761905,0.6309351360051505,150528,49
2,4,25,0.5964576352321685,0.3860160233066278,0.6305369164765758,156800,49
3,0,1,0.2589755864049785,0.20777891504605936,0.2814482425614812,9344,73
3,0,2,0.3757778841550981,0.2135102533172497,0.3585737913274169,18688,73
3,0,3,0.42939205361416943,0.3257918552036199,0.5159190684715584,28032,73
3,0,4,0.4906653901388224,0.3792298716452742,0.593910432519134,37376,73
3,0,5,0.5835327908089996,0.4246031746031746,0.6868593105668316,46720,73
3,0,6,0.6031594064145525,0.4402430790006752,0.7065246951608695,56064,73
3,0,7,0.6050741981809479,0.44369521240728255,0.7053425242955539,65408,73
3,0,8,0.6103398755385352,0.4339360222531293,0.6934944526770896,74752,73
3,0,9,0.595021541407372,0.4485006518904824,0.6986324558628461,84096,73
3,0,10,0.610818573480134,0.4112961622013034,0.6811954355994383,93440,73
3,0,11,0.6146481570129249,0.43349753694581283,0.7006415913240869,102784,73
3,0,12,0.6223073240785064,0.43843416370106764,0.7084949799363959,112128,73
3,0,13,0.5911919578745811,0.4447334200260078,0.6865276922137675,121472,73
3,0,14,0.5955002393489708,0.4278943805010156,0.6770342496545065,130816,73
3,0,15,0.5959789372905696,0.43049932523616735,0.6824539203116935,140160,73
3,0,16,0.6337960746768789,0.4403803950256035,0.7020998795628742,149504,73
3,0,17,0.6065102920057444,0.44157608695652173,0.6997896512873452,158848,73
3,0,18,0.6208712302537099,0.43909348441926344,0.6987490079199898,168192,73
3,0,19,0.6247008137865007,0.45098039215686275,0.7099768560915101,177536,73
3,0,20,0.6203925323121111,0.43397573162027125,0.706860476087403,186880,73
3,0,21,0.6443274293920536,0.44758364312267657,0.7080745600159842,196224,73
3,0,22,0.6213499281953088,0.4495476687543493,0.7051954466996342,205568,73
3,0,23,0.6371469602680708,0.4684431977559607,0.7231819266610057,214912,73
3,0,24,0.6136907611297271,0.4630738522954092,0.7048471780526926,224256,73
3,0,25,0.6381043561512686,0.44165435745937964,0.6995121463893839,233600,73
3,1,1,0.24413595021541407,0.20772704465629704,0.27596058320429356,9344,73
3,1,2,0.44997606510292004,0.17516152189519024,0.31240946402704006,18688,73
3,1,3,0.48396361895643847,0.18456883509833585,0.4208389528075171,28032,73
3,1,4,0.5160363810435615,0.34478289047310434,0.5582052648229241,37376,73
3,1,5,0.5428434657730972,0.3889955214331414,0.6091551640886461,46720,73
3,1,6,0.52082336045955,0.38324091189155884,0.5836705017843564,56064,73
3,1,7,0.5227381522259454,0.410408042578356,0.6152547217458388,65408,73
3,1,8,0.5591191957874582,0.4408014571948998,0.6893374293056272,74752,73
3,1,9,0.6160842508377214,0.454421768707483,0.7294396621100361,84096,73
3,1,10,0.6677836285303973,0.48208955223880595,0.7427487970162674,93440,73
3,1,11,0.6189564384873145,0.46862483311081443,0.7486416135244789,102784,73
3,1,12,0.6945907132599329,0.5023400936037441,0.7570402992612819,112128,73
3,1,13,0.6787936811871709,0.502594514455152,0.7591562741082379,121472,73
3,1,14,0.6797510770703686,0.49962602842183995,0.7591382362898704,130816,73
3,1,15,0.6811871708951651,0.49849397590361444,0.7568293955388313,140160,73
