model,qubits,seed,round,test_acc,test_f1,test_auc,round_bytes,cumulative_bytes,wall_seconds,n_params
VQC,4.0,1,15,0.5107707036859741,0.3389391979301423,0.5453595630962886,3200,48000,0.3794889450073242,25
VQC,4.0,1,16,0.48300622307324076,0.3382352941176471,0.5421349561819766,3200,51200,0.35222911834716797,25
VQC,4.0,1,17,0.5323121110579224,0.3349217154526889,0.5633071923719454,3200,54400,0.3705620765686035,25
VQC,4.0,1,18,0.4906653901388224,0.35121951219512193,0.5668453798209538,3200,57600,0.37865424156188965,25
VQC,4.0,1,19,0.5280038295835328,0.35471204188481675,0.551065063798376,3200,60800,0.3687117099761963,25
VQC,4.0,1,20,0.5155576831019627,0.35459183673469385,0.5564389461473995,3200,64000,0.31713223457336426,25
VQC,4.0,1,21,0.5136428913355673,0.351213282247765,0.5711439306903767,3200,67200,0.37712979316711426,25
VQC,4.0,1,22,0.5280038295835328,0.36304909560723514,0.5598245059025292,3200,70400,0.3663668632507324,25
VQC,4.0,1,23,0.5150789851603638,0.34178037686809615,0.5517449507983816,3200,73600,0.37297987937927246,25
VQC,4.0,1,24,0.5198659645763524,0.33795379537953796,0.5653870915821664,3200,76800,0.40474987030029297,25
VQC,4.0,1,25,0.5126854954523695,0.36295369211514394,0.5590322294188492,3200,80000,0.47988414764404297,25
MatchedMLP,4.0,1,1,0.7826711345141216,0.36768802228412256,0.7830438957247595,3200,3200,0.03274941444396973,25
MatchedMLP,4.0,1,2,0.7146960268070848,0.56047197640118,0.8248944093863257,3200,6400,0.026830434799194336,25
MatchedMLP,4.0,1,3,0.6562948779320249,0.5270092226613966,0.8343448386864027,3200,9600,0.03484463691711426,25
MatchedMLP,4.0,1,4,0.6424126376256583,0.5171299288946348,0.838130005494597,3200,12800,0.030468225479125977,25
MatchedMLP,4.0,1,5,0.6811871708951651,0.5432098765432098,0.8407080259966588,3200,16000,0.03173708915710449,25
MatchedMLP,4.0,1,6,0.6969842029679273,0.5539112050739958,0.8426533353313687,3200,19200,0.032717227935791016,25
MatchedMLP,4.0,1,7,0.7099090473910962,0.5602322206095791,0.8440103342824001,3200,22400,0.030024051666259766,25
MatchedMLP,4.0,1,8,0.7142173288654858,0.5626373626373626,0.84494691331302,3200,25600,0.028034210205078125,25
MatchedMLP,4.0,1,9,0.7190043082814744,0.5655070318282753,0.8455823995293518,3200,28800,0.02302694320678711,25
MatchedMLP,4.0,1,10,0.7228338918142652,0.5682326621923938,0.8463552506701743,3200,32000,0.031974077224731445,25
MatchedMLP,4.0,1,11,0.7213977979894687,0.5663189269746647,0.8470809259783435,3200,35200,0.0289459228515625,25
MatchedMLP,4.0,1,12,0.7242699856390618,0.568215892053973,0.8475693345987557,3200,38400,0.024501800537109375,25
MatchedMLP,4.0,1,13,0.7271421732886548,0.5701357466063348,0.8479370285885546,3200,41600,0.027803659439086914,25
MatchedMLP,4.0,1,14,0.726663475347056,0.5697061039939714,0.848308885151823,3200,44800,0.023407936096191406,25
MatchedMLP,4.0,1,15,0.7247486835806606,0.568642160540135,0.8490387230334616,3200,48000,0.02254199981689453,25
MatchedMLP,4.0,1,16,0.7247486835806606,0.5679939894815927,0.8492149386436669,3200,51200,0.030134201049804688,25
MatchedMLP,4.0,1,17,0.7271421732886548,0.5694864048338368,0.8493925417783623,3200,54400,0.03172945976257324,25
MatchedMLP,4.0,1,18,0.726663475347056,0.5690566037735849,0.849604833025303,3200,57600,0.02972865104675293,25
